,A,Epeak,dur,gamma,imx,imy,nllh,phi,theta,time,timeID,bkg_nllh,TS,squareID
6,0.008113967732621916,212.13203435596432,2.0479999780654907,0.09999999999999998,0.08200000000000007,-0.44,45945.21815299721,79.44325524428177,24.11212904951547,646018382.6667,-5122048.0,46039.44034899645,13.727504944398726,2614
8,0.005265178577754257,212.13203435596432,2.0479999780654907,0.6,0.08200000000000007,-0.44,45952.55133088718,79.44325524428177,24.11212904951547,646018382.6667,-5122048.0,46039.44034899645,13.182489757953313,2614
12,0.005399252569667936,460.57793515969075,2.0479999780654907,0.09999999999999998,0.08200000000000007,-0.44,45920.00375367006,79.44325524428177,24.11212904951547,646018382.6667,-5122048.0,46039.44034899645,15.455522982182867,2614
14,0.004265016181328492,460.57793515969075,2.0479999780654907,0.6,0.08200000000000007,-0.44,45932.96473413009,79.44325524428177,24.11212904951547,646018382.6667,-5122048.0,46039.44034899645,14.592848581847583,2614
16,0.0028476704064811127,460.57793515969075,2.0479999780654907,1.1,0.08200000000000007,-0.44,45952.01371982035,79.44325524428177,24.11212904951547,646018382.6667,-5122048.0,46039.44034899645,13.223209079198696,2614
30,0.0050479898243882045,460.57793515969075,2.0479999780654907,0.09999999999999998,0.08600000000000008,-0.44,45934.215376561064,78.94070363293359,24.147923167143944,646018382.6667,-5122048.0,46039.44034928961,14.506893032523902,2614
32,0.003998907176628028,460.57793515969075,2.0479999780654907,0.6,0.08600000000000008,-0.44,45944.8604546953,78.94070363293359,24.147923167143944,646018382.6667,-5122048.0,46039.44034928961,13.753537333668726,2614
42,0.007871199095409719,212.13203435596432,2.0479999780654907,0.09999999999999998,0.09000000000000007,-0.44,45949.91286260532,78.43986920578223,24.185336209149625,646018382.6667,-5122048.0,46039.44034904044,13.381142435167176,2614
48,0.005221835923894566,460.57793515969075,2.0479999780654907,0.09999999999999998,0.09000000000000007,-0.44,45927.07579219775,78.43986920578223,24.185336209149625,646018382.6667,-5122048.0,46039.44034904044,14.990967736786528,2614
50,0.004153554149969152,460.57793515969075,2.0479999780654907,0.6,0.09000000000000007,-0.44,45937.62272943896,78.43986920578223,24.185336209149625,646018382.6667,-5122048.0,46039.44034904044,14.2700819620264,2614
60,0.008488838739748128,212.13203435596432,2.0479999780654907,0.09999999999999998,0.09400000000000007,-0.44,45936.34326714758,77.94081931053813,24.224356713414913,646018382.6667,-5122048.0,46039.440348611715,14.359462487442434,2614
62,0.005542624010448078,212.13203435596432,2.0479999780654907,0.6,0.09400000000000007,-0.44,45943.0095932995,77.94081931053813,24.224356713414913,646018382.6667,-5122048.0,46039.440348611715,13.887458753293387,2614
66,0.005563844525264488,460.57793515969075,2.0479999780654907,0.09999999999999998,0.09400000000000007,-0.44,45912.80251416147,77.94081931053813,24.224356713414913,646018382.6667,-5122048.0,46039.440348611715,15.914636939009608,2614
68,0.004438795461694798,460.57793515969075,2.0479999780654907,0.6,0.09400000000000007,-0.44,45924.053412315654,77.94081931053813,24.224356713414913,646018382.6667,-5122048.0,46039.440348611715,15.191243286581999,2614
70,0.002994480594691725,460.57793515969075,2.0479999780654907,1.1,0.09400000000000007,-0.44,45942.49228466351,77.94081931053813,24.224356713414913,646018382.6667,-5122048.0,46039.440348611715,13.924658986718939,2614
78,0.008157828429967937,212.13203435596432,2.0479999780654907,0.09999999999999998,0.09800000000000007,-0.44,45944.844400043854,77.44361973305726,24.264972800346527,646018382.6667,-5122048.0,46039.44034899234,13.75470457323519,2614
80,0.005292027516402252,212.13203435596432,2.0479999780654907,0.6,0.09800000000000007,-0.44,45952.1160127795,77.44361973305726,24.264972800346527,646018382.6667,-5122048.0,46039.44034899234,13.215470949825544,2614
84,0.005427349722513617,460.57793515969075,2.0479999780654907,0.09999999999999998,0.09800000000000007,-0.44,45919.40074446161,77.44361973305726,24.264972800346527,646018382.6667,-5122048.0,46039.44034899234,15.494489635398466,2614
85,0.006626550543072135,460.57793515969075,1.0240000486373901,0.09999999999999998,0.09800000000000007,-0.44,28395.78600237956,77.44361973305726,24.264972800346527,646018383.4347,2561024.0,28483.49259984907,13.244364648371064,2614
86,0.004287962842237751,460.57793515969075,2.0479999780654907,0.6,0.09800000000000007,-0.44,45932.37403509369,77.44361973305726,24.264972800346527,646018382.6667,-5122048.0,46039.44034899234,14.63327126097574,2614
88,0.002859545104370436,460.57793515969075,2.0479999780654907,1.1,0.09800000000000007,-0.44,45951.59867233798,77.44361973305726,24.264972800346527,646018382.6667,-5122048.0,46039.44034899234,13.254559717648837,2614
96,0.008032243317382535,212.13203435596432,2.0479999780654907,0.09999999999999998,0.10200000000000006,-0.44,45945.127187443424,76.94833465788872,24.30717218529232,646018382.6667,-5122048.0,46039.440348973854,13.734129861802682,2614
102,0.005372732272528294,460.57793515969075,2.0479999780654907,0.09999999999999998,0.10200000000000006,-0.44,45918.73105019056,76.94833465788872,24.30717218529232,646018382.6667,-5122048.0,46039.440348973854,15.537650966815724,2614
103,0.006608882029424104,460.57793515969075,1.0240000486373901,0.09999999999999998,0.10200000000000006,-0.44,28394.102398950836,76.94833465788872,24.30717218529232,646018383.4347,2561024.0,28483.492599828955,13.370878870000938,2614
104,0.00422149565518647,460.57793515969075,2.0479999780654907,0.6,0.10200000000000006,-0.44,45932.865981423674,76.94833465788872,24.30717218529232,646018382.6667,-5122048.0,46039.440348973854,14.599614210668712,2614
114,0.008041585508714578,212.13203435596432,2.0479999780654907,0.09999999999999998,0.10600000000000007,-0.44,45945.233313619,76.45502663205446,24.350942191221936,646018382.6667,-5122048.0,46039.44034893134,13.726400497751897,2614
116,0.005219664165092743,212.13203435596432,2.0479999780654907,0.6,0.10600000000000007,-0.44,45952.560439697234,76.45502663205446,24.350942191221936,646018382.6667,-5122048.0,46039.44034893134,13.181798756930474,2614
120,0.0053651708317565975,460.57793515969075,2.0479999780654907,0.09999999999999998,0.10600000000000007,-0.44,45919.43297133362,76.45502663205446,24.350942191221936,646018382.6667,-5122048.0,46039.44034893134,15.492409599395547,2614
121,0.0065783722535417465,460.57793515969075,1.0240000486373901,0.09999999999999998,0.10600000000000007,-0.44,28395.081862603776,76.45502663205446,24.350942191221936,646018383.4347,2561024.0,28483.49259981278,13.297423600758446,2614
122,0.004234177565539529,460.57793515969075,2.0479999780654907,0.6,0.10600000000000007,-0.44,45932.67939049047,76.45502663205446,24.350942191221936,646018382.6667,-5122048.0,46039.44034893134,14.612389157209785,2614
124,0.0028274400275086252,460.57793515969075,2.0479999780654907,1.1,0.10600000000000007,-0.44,45951.737415194286,76.45502663205446,24.350942191221936,646018382.6667,-5122048.0,46039.44034893134,13.244088019720722,2614
138,0.005156533055881289,460.57793515969075,2.0479999780654907,0.09999999999999998,0.11000000000000007,-0.44,45928.70260743333,75.96375653207352,24.39626976164328,646018382.6667,-5122048.0,46039.4403492086,14.882052397116805,2614
140,0.0040649063512404274,460.57793515969075,2.0479999780654907,0.6,0.11000000000000007,-0.44,45941.05203818086,75.96375653207352,24.39626976164328,646018382.6667,-5122048.0,46039.4403492086,14.027709080797077,2614
156,0.005061570404847006,460.57793515969075,2.0479999780654907,0.09999999999999998,0.11400000000000007,-0.44,45933.276216772676,75.47458353423157,24.443141473726495,646018382.6667,-5122048.0,46039.44034929229,14.57148808595818,2614
158,0.004000582638490167,460.57793515969075,2.0479999780654907,0.6,0.11400000000000007,-0.44,45944.64692876787,75.47458353423157,24.443141473726495,646018382.6667,-5122048.0,46039.44034929229,13.769053745585891,2614
168,0.008372000258323326,212.13203435596432,2.0479999780654907,0.09999999999999998,0.11800000000000008,-0.44,45937.790728299464,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,14.258304262752468,2614
170,0.005506223616227589,212.13203435596432,2.0479999780654907,0.6,0.11800000000000008,-0.44,45943.02400077993,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,13.88642126281261,2614
172,0.003275225650065042,212.13203435596432,2.0479999780654907,1.1,0.11800000000000008,-0.44,45952.9445322349,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,13.15262835247602,2614
174,0.005477229856413711,460.57793515969075,2.0479999780654907,0.09999999999999998,0.11800000000000008,-0.44,45915.01563968165,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,15.774961733229249,2614
175,0.006647934340546999,460.57793515969075,1.0240000486373901,0.09999999999999998,0.11800000000000008,-0.44,28394.153593221727,74.98756508808697,24.491543551607663,646018383.4347,2561024.0,28483.49259960243,13.367049515932969,2614
176,0.004394398133678005,460.57793515969075,2.0479999780654907,0.6,0.11800000000000008,-0.44,45924.84927266986,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,15.138763215944419,2614
178,0.0029939674376485495,460.57793515969075,2.0479999780654907,1.1,0.11800000000000008,-0.44,45941.27426042053,74.98756508808697,24.491543551607663,646018382.6667,-5122048.0,46039.44034852408,14.01185841375437,2614
186,0.008520744538167778,212.13203435596432,2.0479999780654907,0.09999999999999998,0.08000000000000007,-0.437,45938.78175685521,79.62594183204594,23.953774171282305,646018382.6667,-5122048.0,46039.44034890139,14.188628689635957,2614
