4U 1700-377_rt_sum,A,Epeak,GRO J1655-40_rt_sum,GX 339-4_rt_sum,Sco X-1_rt_sum,TS,bkg_nllh,dur,gamma,hp_ind,ndets,nllh,phi,solid_angle,theta,time,timeID
0.0,0.005079050341362608,1000.0,0.0,0.0,0.0,2.694407413732565,38.01580780481287,0.256,-0.1,104,0,34.38589214922437,157.5,0.0,99.59406822686046,646018382.6027,-5760256
0.0,0.039919263933276335,85.08090989731258,0.0,0.0,0.0,8.394064095514068,70.70117572902211,0.256,2.068306269398189,104,0,35.47101970922291,157.5,0.0,99.59406822686046,646018383.1147,-640256
0.0,0.034266269334941576,164.9444418780659,0.0,0.0,0.0,5.343809803487545,49.848720152348534,0.256,2.1,104,0,35.570568544423736,157.5,0.0,99.59406822686046,646018382.7307,-4480256
0.0,0.04647107838194322,32.80611750653437,0.0,0.0,0.0,5.089367943443676,47.35056976628003,0.256,1.9727351814866922,104,0,34.39973673440397,157.5,0.0,99.59406822686046,646018382.7947,-3840256
0.0,0.044897277392768706,121.81537534896924,0.0,0.0,0.0,9.989785086517095,83.91262020769705,0.256,2.1,104,0,34.01471717029737,157.5,0.0,99.59406822686046,646018383.3067,1280256
0.0,0.02478985858755516,36.83026140448447,0.0,0.0,0.0,8.86555950679125,76.33694966555993,0.256,2.015126293938161,104,0,37.037876981331564,157.5,0.0,99.59406822686046,646018383.4347,2560256
0.0,0.02387927107740574,1000.0,0.0,0.0,0.0,8.739728133438783,76.05437840342177,0.256,0.3071585387369555,104,0,37.86295448021108,157.5,0.0,99.59406822686046,646018383.4987,3200256
0.0,0.02160738335992542,851.1747102305782,0.0,0.0,0.0,9.508493163138999,84.2846635596826,0.256,-0.1,104,0,39.07894244295206,157.5,0.0,99.59406822686046,646018384.1387,9600256
0.0,0.031897459320546835,600.8951826664385,0.0,0.0,0.0,8.802105707137498,74.22456974484444,0.256,-0.1,104,0,35.48603730503319,157.5,0.0,99.59406822686046,646018384.0107,8320256
0.0,0.024677339618671006,100.22963828401421,0.0,0.0,0.0,7.773466221130565,63.7564489330225,0.256,2.1,104,0,33.54306038749354,157.5,0.0,99.59406822686046,646018384.2027,10240256
0.0,0.023777837043740802,112.86038598122535,0.0,0.0,0.0,5.952010298737202,50.71448078373992,0.256,2.1,104,0,33.001267485603066,157.5,0.0,99.59406822686046,646018384.2667,10880256
0.0,0.025088694425313886,437.68680221831994,0.0,0.0,0.0,4.333050452757516,41.99636093974614,0.256,-0.1,104,0,32.60869782667508,157.5,0.0,99.59406822686046,646018388.6826999,55040256
0.0,0.010803583085667727,829.314057813044,0.0,0.0,0.0,4.580826489579371,43.7354654709956,0.256,-0.1,104,0,33.24347980717957,157.5,0.0,99.59406822686046,646018388.7466999,55680256
0.0,0.0363321537697878,361.8311795937767,0.0,0.0,0.0,4.6779766423011955,44.86040196823877,0.256,-0.1,104,0,33.91866923528099,157.5,0.0,99.59406822686046,646018388.8747,56960256
0.0,0.01910955079010961,587.4509284488893,0.0,0.0,0.0,5.171514241810577,47.420807521141235,0.256,-0.1,104,0,34.04852774451642,157.5,0.0,99.59406822686046,646018388.8106999,56320256
0.0,0.009949406357539077,35.59647919324789,0.0,0.0,0.0,4.831937070642338,50.849287915870285,0.256,2.0182222506192704,104,0,39.175479988546456,157.5,0.0,99.59406822686046,646018393.3547,101760256
0.0,0.029820077839905732,34.654342895763975,0.0,0.0,0.0,2.8619036776077347,38.10219182579017,0.256,1.9647030797009588,104,0,34.00694549583783,157.5,0.0,99.59406822686046,646018393.1626999,99840256
0.0,0.00715679311792618,32.14959682922079,0.0,0.0,0.0,3.008839508676252,40.31858018020449,0.256,2.009234102645058,104,0,35.79202258571892,157.5,0.0,99.59406822686046,646018393.2267,100480256
0.0,0.015195940510134542,702.0377333992495,0.0,0.0,0.0,5.20184685427674,50.90802252428242,0.256,-0.1,104,0,37.37841717660802,157.5,0.0,99.59406822686046,646018393.4187,102400256
0.0,0.015619641785271319,563.5943249221946,0.0,0.0,0.0,3.94929099978742,43.50178659312708,0.256,-0.1,104,0,35.70333689262612,157.5,0.0,99.59406822686046,646018393.4827,103040256
0.0,124.30718184404957,20.87051223077787,0.0,0.0,0.0,3.808697404928419,41.604356297716464,0.256,-0.1,104,0,34.35126833656223,157.5,0.0,99.59406822686046,646018394.2507,110720256
0.0,0.03455836233895235,121.45324427261939,0.0,0.0,0.0,10.98884727463296,96.43330907440549,0.512,2.1,104,0,36.055926861801375,157.5,0.0,99.59406822686046,646018383.0507,-1280512
0.0,0.03584090630211801,126.60987964660978,0.0,0.0,0.0,10.739082036446373,94.19332953426533,0.512,2.1,104,0,36.529388041502735,157.5,0.0,99.59406822686046,646018382.9226999,-2560512
0.0,0.03642500009786376,115.69705600738362,0.0,0.0,0.0,12.324612933491139,113.29775074734101,0.512,2.1,104,0,37.3497087671525,157.5,0.0,99.59406822686046,646018383.1787,512
0.0,0.03231533947309325,110.73724441758405,0.0,0.0,0.0,11.694197260056708,108.58035765224139,0.512,2.1,104,0,40.20323287368249,157.5,0.0,99.59406822686046,646018383.3067,1280512
0.0,0.027999872799709374,1000.0,0.0,0.0,0.0,11.722963891685158,107.7382203646536,0.512,0.5668078169787577,104,0,39.0242791617766,157.5,0.0,99.59406822686046,646018383.9467,7680512
0.0,0.021342751394448675,102.68491803012135,0.0,0.0,0.0,6.4321227237310925,59.30354213976309,0.512,2.0849892799844167,104,0,38.61744077319415,157.5,0.0,99.59406822686046,646018384.2027,10240512
