dur,imx0,imx1,imy0,imy1,squareID,time,timeID,proc_group
2.048,-0.3599999999999999,-0.32000000000000006,-0.48,-0.43999999999999995,2063,646018382.6667,-5122048,90
2.048,-0.3599999999999999,-0.32000000000000006,-0.43999999999999995,-0.4,2064,646018382.6667,-5122048,91
2.048,-0.3599999999999999,-0.32000000000000006,-0.4,-0.36,2065,646018382.6667,-5122048,92
2.048,-0.3599999999999999,-0.32000000000000006,-0.36,-0.31999999999999995,2066,646018382.6667,-5122048,93
2.048,-0.3999999999999999,-0.3599999999999999,-0.84,-0.8,2004,646018382.6667,-5122048,67
2.048,-0.3999999999999999,-0.3599999999999999,-0.8,-0.76,2005,646018382.6667,-5122048,68
2.048,-0.3999999999999999,-0.3599999999999999,-0.76,-0.72,2006,646018382.6667,-5122048,69
2.048,-0.3599999999999999,-0.32000000000000006,-0.84,-0.8,2054,646018382.6667,-5122048,81
2.048,-0.3599999999999999,-0.32000000000000006,-0.8,-0.76,2055,646018382.6667,-5122048,82
2.048,-0.3599999999999999,-0.32000000000000006,-0.76,-0.72,2056,646018382.6667,-5122048,83
2.048,-0.32000000000000006,-0.28,-0.84,-0.8,2104,646018382.6667,-5122048,95
2.048,-0.32000000000000006,-0.28,-0.8,-0.76,2105,646018382.6667,-5122048,0
2.048,-0.32000000000000006,-0.28,-0.76,-0.72,2106,646018382.6667,-5122048,1
2.048,-0.3999999999999999,-0.3599999999999999,-0.72,-0.6799999999999999,2007,646018382.6667,-5122048,70
2.048,-0.3599999999999999,-0.32000000000000006,-0.72,-0.6799999999999999,2057,646018382.6667,-5122048,84
2.048,-0.32000000000000006,-0.28,-0.72,-0.6799999999999999,2107,646018382.6667,-5122048,2
2.048,-0.32000000000000006,-0.28,-0.48,-0.43999999999999995,2113,646018382.6667,-5122048,8
2.048,-0.32000000000000006,-0.28,-0.43999999999999995,-0.4,2114,646018382.6667,-5122048,9
2.048,-0.32000000000000006,-0.28,-0.4,-0.36,2115,646018382.6667,-5122048,10
2.048,-0.32000000000000006,-0.28,-0.36,-0.31999999999999995,2116,646018382.6667,-5122048,11
2.048,-0.28,-0.24,-0.84,-0.8,2154,646018382.6667,-5122048,13
2.048,-0.28,-0.24,-0.8,-0.76,2155,646018382.6667,-5122048,14
2.048,-0.28,-0.24,-0.76,-0.72,2156,646018382.6667,-5122048,15
2.048,-0.28,-0.24,-0.72,-0.6799999999999999,2157,646018382.6667,-5122048,16
2.048,-0.3599999999999999,-0.32000000000000006,-0.6799999999999999,-0.64,2058,646018382.6667,-5122048,85
2.048,-0.32000000000000006,-0.28,-0.6799999999999999,-0.64,2108,646018382.6667,-5122048,3
2.048,-0.28,-0.24,-0.6799999999999999,-0.64,2158,646018382.6667,-5122048,17
2.048,-0.3599999999999999,-0.32000000000000006,-0.64,-0.6,2059,646018382.6667,-5122048,86
2.048,-0.32000000000000006,-0.28,-0.64,-0.6,2109,646018382.6667,-5122048,4
2.048,-0.28,-0.24,-0.64,-0.6,2159,646018382.6667,-5122048,18
2.048,-0.3599999999999999,-0.32000000000000006,-0.6,-0.56,2060,646018382.6667,-5122048,87
2.048,-0.32000000000000006,-0.28,-0.6,-0.56,2110,646018382.6667,-5122048,5
