dec,dur,hp_ind,phi,proc_group,ra,theta,time,timeID
4.780191847199163,2.0480000000000005,1453,354.44889720217293,23,59.0625,143.98680695432344,646018382.6667001,-5122048
4.780191847199163,1.0240000000000002,1453,354.44889720217293,23,59.0625,143.98680695432344,646018382.9226999,-2561024
4.780191847199163,1.0240000000000002,1453,354.44889720217293,23,59.0625,143.98680695432344,646018383.1786999,1024
4.780191847199163,1.0240000000000002,1453,354.44889720217293,23,59.0625,143.98680695432344,646018383.4347,2561024
4.780191847199163,2.0480000000000005,1454,351.11942706088604,0,53.4375,138.77907305169694,646018382.6667001,-5122048
4.780191847199163,1.0240000000000002,1454,351.11942706088604,0,53.4375,138.77907305169694,646018382.9226999,-2561024
4.780191847199163,1.0240000000000002,1454,351.11942706088604,0,53.4375,138.77907305169694,646018383.1786999,1024
4.780191847199163,1.0240000000000002,1454,351.11942706088604,0,53.4375,138.77907305169694,646018383.4347,2561024
7.180755781458274,2.0480000000000005,1455,349.05481131015915,1,56.24999999999999,142.2235135298638,646018382.6667001,-5122048
7.180755781458274,1.0240000000000002,1455,349.05481131015915,1,56.24999999999999,142.2235135298638,646018382.9226999,-2561024
7.180755781458274,1.0240000000000002,1455,349.05481131015915,1,56.24999999999999,142.2235135298638,646018383.1786999,1024
7.180755781458274,1.0240000000000002,1455,349.05481131015915,1,56.24999999999999,142.2235135298638,646018383.4347,2561024
2.388015463268772,2.0480000000000005,1456,5.485348353910014,2,67.5,150.4106089108385,646018382.6667001,-5122048
2.388015463268772,1.0240000000000002,1456,5.485348353910014,2,67.5,150.4106089108385,646018382.9226999,-2561024
2.388015463268772,1.0240000000000002,1456,5.485348353910014,2,67.5,150.4106089108385,646018383.1786999,1024
2.388015463268772,1.0240000000000002,1456,5.485348353910014,2,67.5,150.4106089108385,646018383.4347,2561024
4.780191847199163,2.0480000000000005,1457,4.180232494302394,3,70.31249999999999,154.0482300854309,646018382.6667001,-5122048
4.780191847199163,1.0240000000000002,1457,4.180232494302394,3,70.31249999999999,154.0482300854309,646018382.9226999,-2561024
4.780191847199163,1.0240000000000002,1457,4.180232494302394,3,70.31249999999999,154.0482300854309,646018383.1786999,1024
4.780191847199163,1.0240000000000002,1457,4.180232494302394,3,70.31249999999999,154.0482300854309,646018383.4347,2561024
4.780191847199163,2.0480000000000005,1458,358.6398920340436,4,64.6875,149.0967277324279,646018382.6667001,-5122048
4.780191847199163,1.0240000000000002,1458,358.6398920340436,4,64.6875,149.0967277324279,646018382.9226999,-2561024
4.780191847199163,1.0240000000000002,1458,358.6398920340436,4,64.6875,149.0967277324279,646018383.1786999,1024
4.780191847199163,1.0240000000000002,1458,358.6398920340436,4,64.6875,149.0967277324279,646018383.4347,2561024
7.180755781458274,2.0480000000000005,1459,356.5768700940013,5,67.5,152.6436670977479,646018382.6667001,-5122048
7.180755781458274,1.0240000000000002,1459,356.5768700940013,5,67.5,152.6436670977479,646018382.9226999,-2561024
7.180755781458274,1.0240000000000002,1459,356.5768700940013,5,67.5,152.6436670977479,646018383.1786999,1024
7.180755781458274,1.0240000000000002,1459,356.5768700940013,5,67.5,152.6436670977479,646018383.4347,2561024
7.180755781458274,2.0480000000000005,1460,2.413365453360807,6,73.125,157.66296011776328,646018382.6667001,-5122048
7.180755781458274,1.0240000000000002,1460,2.413365453360807,6,73.125,157.66296011776328,646018382.9226999,-2561024
7.180755781458274,1.0240000000000002,1460,2.413365453360807,6,73.125,157.66296011776328,646018383.1786999,1024
7.180755781458274,1.0240000000000002,1460,2.413365453360807,6,73.125,157.66296011776328,646018383.4347,2561024
9.594068226860458,2.0480000000000005,1461,359.88366160579295,7,75.9375,161.2381561291867,646018382.6667001,-5122048
9.594068226860458,1.0240000000000002,1461,359.88366160579295,7,75.9375,161.2381561291867,646018382.9226999,-2561024
9.594068226860458,1.0240000000000002,1461,359.88366160579295,7,75.9375,161.2381561291867,646018383.1786999,1024
9.594068226860458,1.0240000000000002,1461,359.88366160579295,7,75.9375,161.2381561291867,646018383.4347,2561024
9.594068226860458,2.0480000000000005,1462,353.86057923271676,8,70.31249999999999,156.13541940488977,646018382.6667001,-5122048
9.594068226860458,1.0240000000000002,1462,353.86057923271676,8,70.31249999999999,156.13541940488977,646018382.9226999,-2561024
9.594068226860458,1.0240000000000002,1462,353.86057923271676,8,70.31249999999999,156.13541940488977,646018383.1786999,1024
9.594068226860458,1.0240000000000002,1462,353.86057923271676,8,70.31249999999999,156.13541940488977,646018383.4347,2561024
12.024699180565818,2.0480000000000005,1463,350.14143862477374,9,73.125,159.5386177376901,646018382.6667001,-5122048
12.024699180565818,1.0240000000000002,1463,350.14143862477374,9,73.125,159.5386177376901,646018382.9226999,-2561024
12.024699180565818,1.0240000000000002,1463,350.14143862477374,9,73.125,159.5386177376901,646018383.1786999,1024
12.024699180565818,1.0240000000000002,1463,350.14143862477374,9,73.125,159.5386177376901,646018383.4347,2561024
7.180755781458274,2.0480000000000005,1464,352.337937280983,10,61.87499999999999,147.47626892076323,646018382.6667001,-5122048
7.180755781458274,1.0240000000000002,1464,352.337937280983,10,61.87499999999999,147.47626892076323,646018382.9226999,-2561024
7.180755781458274,1.0240000000000002,1464,352.337937280983,10,61.87499999999999,147.47626892076323,646018383.1786999,1024
7.180755781458274,1.0240000000000002,1464,352.337937280983,10,61.87499999999999,147.47626892076323,646018383.4347,2561024
9.594068226860458,2.0480000000000005,1465,349.7061720420697,11,64.6875,150.9045405765378,646018382.6667001,-5122048
9.594068226860458,1.0240000000000002,1465,349.7061720420697,11,64.6875,150.9045405765378,646018382.9226999,-2561024
9.594068226860458,1.0240000000000002,1465,349.7061720420697,11,64.6875,150.9045405765378,646018383.1786999,1024
9.594068226860458,1.0240000000000002,1465,349.7061720420697,11,64.6875,150.9045405765378,646018383.4347,2561024
9.594068226860458,2.0480000000000005,1466,346.57919067407835,12,59.0625,145.60625270938647,646018382.6667001,-5122048
9.594068226860458,1.0240000000000002,1466,346.57919067407835,12,59.0625,145.60625270938647,646018382.9226999,-2561024
9.594068226860458,1.0240000000000002,1466,346.57919067407835,12,59.0625,145.60625270938647,646018383.1786999,1024
9.594068226860458,1.0240000000000002,1466,346.57919067407835,12,59.0625,145.60625270938647,646018383.4347,2561024
12.024699180565818,2.0480000000000005,1467,343.5467604068862,13,61.87499999999999,148.90087465069354,646018382.6667001,-5122048
