,A,Epeak,dur,gamma,imx,imy,nllh,phi,theta,time,timeID,bkg_nllh,TS,squareID
6,0.007168535763629278,460.57793515969075,1.0240000486373901,0.09999999999999998,1.002,0.15999999999999992,28407.8688359917,350.92756528319825,45.41787570568503,646018383.1787,1024.0,28498.047832393953,13.429742842084035,3779
7,0.005722068924613956,460.57793515969075,1.0240000486373901,0.6,1.002,0.15999999999999992,28419.96982178779,350.92756528319825,45.41787570568503,646018383.1787,1024.0,28498.047832393953,12.496240283074325,3779
15,0.007277810167285664,460.57793515969075,1.0240000486373901,0.09999999999999998,1.006,0.15999999999999992,28404.334337545562,350.9630421296378,45.52916874930857,646018383.1787,1024.0,28498.04783224091,13.69039770754293,3779
16,0.005843449661173472,460.57793515969075,1.0240000486373901,0.6,1.006,0.15999999999999992,28415.7640050963,350.9630421296378,45.52916874930857,646018383.1787,1024.0,28498.04783224091,12.828392506047871,3779
21,0.01206658906975539,212.13203435596432,1.0240000486373901,0.09999999999999998,1.01,0.15999999999999992,28414.802223300005,350.9982448774387,45.640033964351595,646018383.1787,1024.0,28498.047832028104,12.903147579416341,3779
24,0.007675711274284018,460.57793515969075,1.0240000486373901,0.09999999999999998,1.01,0.15999999999999992,28394.74864596003,350.9982448774387,45.640033964351595,646018383.1787,1024.0,28498.047832028104,14.373530260035219,3779
25,0.006207983880367297,460.57793515969075,1.0240000486373901,0.6,1.01,0.15999999999999992,28406.325622702203,350.9982448774387,45.640033964351595,646018383.1787,1024.0,28498.047832028104,13.544165483772016,3779
33,0.00707460750153748,460.57793515969075,1.0240000486373901,0.09999999999999998,1.014,0.15999999999999992,28411.667634270652,351.03317666468604,45.75047286123531,646018383.1787,1024.0,28498.04783248009,13.143834920557802,3779
39,0.011741508193538011,212.13203435596432,1.0240000486373901,0.09999999999999998,1.018,0.15999999999999992,28420.455274697993,351.0678405821475,45.860486954375695,646018383.1787,1024.0,28498.047832139306,12.45733177219843,3779
42,0.007525167516055582,460.57793515969075,1.0240000486373901,0.09999999999999998,1.018,0.15999999999999992,28399.890655157957,351.0678405821475,45.860486954375695,646018383.1787,1024.0,28498.047832139306,14.011222429277828,3779
43,0.006097243217798129,460.57793515969075,1.0240000486373901,0.6,1.018,0.15999999999999992,28410.872478086854,351.0678405821475,45.860486954375695,646018383.1787,1024.0,28498.047832139306,13.204192822921925,3779
51,0.007357803745677594,460.57793515969075,1.0240000486373901,0.09999999999999998,1.022,0.15999999999999992,28404.15497421657,351.1022396741539,45.970077761944474,646018383.1787,1024.0,28498.047832334974,13.703492848059179,3779
52,0.005899935161473203,460.57793515969075,1.0240000486373901,0.6,1.022,0.15999999999999992,28416.477035348737,351.1022396741539,45.970077761944474,646018383.1787,1024.0,28498.047832334974,12.772689379002204,3779
60,0.007199870228223071,460.57793515969075,1.0240000486373901,0.09999999999999998,1.026,0.15999999999999992,28409.601943143494,351.1363769394609,46.079246805635,646018383.1787,1024.0,28498.047832435957,13.300066863926896,3779
61,0.0058002155835688044,460.57793515969075,1.0240000486373901,0.6,1.026,0.15999999999999992,28420.725794680584,351.1363769394609,46.079246805635,646018383.1787,1024.0,28498.047832435957,12.435597111146167,3779
69,0.007380991036731541,460.57793515969075,1.0240000486373901,0.09999999999999998,1.03,0.15999999999999992,28404.534517216493,351.17025533209096,46.18799561043295,646018383.1787,1024.0,28498.04783226024,13.675767988946497,3779
70,0.005987022817855576,460.57793515969075,1.0240000486373901,0.6,1.03,0.15999999999999992,28414.87177191645,351.17025533209096,46.18799561043295,646018383.1787,1024.0,28498.04783226024,12.897756420695082,3779
75,0.012206310167388337,212.13203435596432,1.0240000486373901,0.09999999999999998,1.034,0.15999999999999992,28414.714107085256,351.2038777621575,46.29632570439171,646018383.1787,1024.0,28498.047832028944,12.909974821330067,3779
78,0.007718327496652713,460.57793515969075,1.0240000486373901,0.09999999999999998,1.034,0.15999999999999992,28395.549332614984,351.2038777621575,46.29632570439171,646018383.1787,1024.0,28498.047832028944,14.317716257417556,3779
79,0.00628853867656193,460.57793515969075,1.0240000486373901,0.6,1.034,0.15999999999999992,28405.952050320233,351.2038777621575,46.29632570439171,646018383.1787,1024.0,28498.047832028944,13.571719250611618,3779
84,0.011710520765650441,212.13203435596432,1.0240000486373901,0.09999999999999998,1.038,0.15999999999999992,28420.679643380518,351.2372470966712,46.404238618412464,646018383.1787,1024.0,28498.04783219058,12.439307762899174,3779
87,0.007458763109840293,460.57793515969075,1.0240000486373901,0.09999999999999998,1.038,0.15999999999999992,28401.626093955616,351.2372470966712,46.404238618412464,646018383.1787,1024.0,28498.04783219058,13.886809441694187,3779
88,0.006047227846906032,460.57793515969075,1.0240000486373901,0.6,1.038,0.15999999999999992,28412.27125832521,351.2372470966712,46.404238618412464,646018383.1787,1024.0,28498.04783219058,13.09782988631085,3779
96,0.007341771222894418,460.57793515969075,1.0240000486373901,0.09999999999999998,1.0,0.16299999999999992,28405.800150092397,350.7422050993322,45.37559421319103,646018383.1787,1024.0,28498.047832351887,13.582907071720017,3779
97,0.0059279767479693555,460.57793515969075,1.0240000486373901,0.6,1.0,0.16299999999999992,28416.870734477885,350.7422050993322,45.37559421319103,646018383.1787,1024.0,28498.047832351887,12.741828587294867,3779
105,0.007381385337013321,460.57793515969075,1.0240000486373901,0.09999999999999998,1.004,0.16299999999999992,28404.277560616003,350.77845385439696,45.486996113816296,646018383.1787,1024.0,28498.047832335847,13.694544294706885,3779
106,0.0059411381740973514,460.57793515969075,1.0240000486373901,0.6,1.004,0.16299999999999992,28416.102834964528,350.77845385439696,45.486996113816296,646018383.1787,1024.0,28498.047832335847,12.801952770676817,3779
114,0.007366506660586455,460.57793515969075,1.0240000486373901,0.09999999999999998,1.008,0.16299999999999992,28404.485219467828,350.81442228051554,45.59797045078731,646018383.1787,1024.0,28498.04783232776,13.679372270680583,3779
115,0.0059385648027178335,460.57793515969075,1.0240000486373901,0.6,1.008,0.16299999999999992,28415.933151246496,350.81442228051554,45.59797045078731,646018383.1787,1024.0,28498.04783232776,12.815200433958438,3779
