,A,Epeak,dur,gamma,imx,imy,nllh,phi,theta,time,timeID,bkg_nllh,TS,squareID
9,0.01243068969730773,212.13203435596432,2.0479999780654907,0.09999999999999998,0.7620000000000002,-0.64,45941.63962999904,40.02673229254585,44.85957001665587,646018382.6667,-5122048.0,46039.44035125616,13.985758560559,3459
18,0.007205720225970031,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7620000000000002,-0.64,45915.16936812828,40.02673229254585,44.85957001665587,646018382.6667,-5122048.0,46039.44035125616,15.765213803046528,3459
19,0.008749217639994165,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7620000000000002,-0.64,28221.77854580758,40.02673229254585,44.85957001665587,646018382.9226999,-2561024.0,28312.37704715233,13.460943603235979,3459
20,0.009221661975335253,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7620000000000002,-0.64,28398.3216291803,40.02673229254585,44.85957001665587,646018383.1787,1024.0,28498.04783310448,14.12276204743106,3459
21,0.0063188769890838575,460.57793515969075,2.0479999780654907,0.6,0.7620000000000002,-0.64,45926.81843055374,40.02673229254585,44.85957001665587,646018382.6667,-5122048.0,46039.44035125616,15.00812584584889,3459
23,0.008071135967188297,460.57793515969075,1.0240000486373901,0.6,0.7620000000000002,-0.64,28407.89694065777,40.02673229254585,44.85957001665587,646018383.1787,1024.0,28498.04783310448,13.427650013811716,3459
24,0.004622094937520298,460.57793515969075,2.0479999780654907,1.1,0.7620000000000002,-0.64,45947.726647650765,40.02673229254585,44.85957001665587,646018382.6667,-5122048.0,46039.44035125616,13.543537470350744,3459
45,0.007028391727104547,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7660000000000002,-0.64,45923.46251765308,39.87906486867538,44.94770824029255,646018382.6667,-5122048.0,46039.44035149771,15.230090862803593,3459
47,0.008906665094346027,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7660000000000002,-0.64,28407.031013758533,39.87906486867538,44.94770824029255,646018383.1787,1024.0,28498.047833283752,13.491984251785876,3459
48,0.006162803196411064,460.57793515969075,2.0479999780654907,0.6,0.7660000000000002,-0.64,45934.90800167476,39.87906486867538,44.94770824029255,646018382.6667,-5122048.0,46039.44035149771,14.459069805692769,3459
63,0.012418524009011299,212.13203435596432,2.0479999780654907,0.09999999999999998,0.7700000000000002,-0.64,45943.333595583164,39.73230287195576,45.0357651650416,646018382.6667,-5122048.0,46039.440351363395,13.864108754639135,3459
72,0.007183184901783525,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7700000000000002,-0.64,45917.02580907457,39.73230287195576,45.0357651650416,646018382.6667,-5122048.0,46039.440351363395,15.647015197079924,3459
74,0.009183951822343347,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7700000000000002,-0.64,28400.380230086645,39.73230287195576,45.0357651650416,646018383.1787,1024.0,28498.047833145214,13.976237194507648,3459
75,0.006304744702251373,460.57793515969075,2.0479999780654907,0.6,0.7700000000000002,-0.64,45928.88316380699,39.73230287195576,45.0357651650416,646018382.6667,-5122048.0,46039.440351363395,14.869915101062652,3459
90,0.01286205554282491,212.13203435596432,2.0479999780654907,0.09999999999999998,0.7740000000000002,-0.64,45934.74708227935,39.58643990861153,45.123738156057826,646018382.6667,-5122048.0,46039.44035107198,14.470194801220265,3459
93,0.008737128911822422,212.13203435596432,2.0479999780654907,0.6,0.7740000000000002,-0.64,45943.17708664347,39.58643990861153,45.123738156057826,646018382.6667,-5122048.0,46039.44035107198,13.87539292622096,3459
99,0.007354652751868096,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7740000000000002,-0.64,45910.1213558449,39.58643990861153,45.123738156057826,646018382.6667,-5122048.0,46039.44035107198,16.08222591727133,3459
100,0.008874825853297253,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7740000000000002,-0.64,28219.91329033645,39.58643990861153,45.123738156057826,646018382.9226999,-2561024.0,28312.37704706289,13.598805589200833,3459
101,0.009362093911170405,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7740000000000002,-0.64,28395.68110821246,39.58643990861153,45.123738156057826,646018383.1787,1024.0,28498.047832998527,14.30850969081466,3459
102,0.006499680092698255,460.57793515969075,2.0479999780654907,0.6,0.7740000000000002,-0.64,45920.29644828844,39.58643990861153,45.123738156057826,646018382.6667,-5122048.0,46039.44035107198,15.436573634297007,3459
104,0.008285966172676023,460.57793515969075,1.0240000486373901,0.6,0.7740000000000002,-0.64,28403.712517609347,39.58643990861153,45.123738156057826,646018383.1787,1024.0,28498.047832998527,13.735742818586866,3459
105,0.004805010654471474,460.57793515969075,2.0479999780654907,1.1,0.7740000000000002,-0.64,45940.42184219162,39.58643990861153,45.123738156057826,646018382.6667,-5122048.0,46039.44035107198,14.07256258684647,3459
117,0.012684257177188839,212.13203435596432,2.0479999780654907,0.09999999999999998,0.7780000000000002,-0.64,45939.59163941814,39.44146961634577,45.211624624129406,646018382.6667,-5122048.0,46039.440351232326,14.131433884371795,3459
120,0.008602528680111382,212.13203435596432,2.0479999780654907,0.6,0.7780000000000002,-0.64,45948.14663536301,39.44146961634577,45.211624624129406,646018382.6667,-5122048.0,46039.440351232326,13.512491692453812,3459
126,0.0073049600148935535,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7780000000000002,-0.64,45913.41861895188,39.44146961634577,45.211624624129406,646018382.6667,-5122048.0,46039.440351232326,15.87587681234933,3459
128,0.009185618043038976,460.57793515969075,1.0240000486373901,0.09999999999999998,0.7780000000000002,-0.64,28400.302181506533,39.44146961634577,45.211624624129406,646018383.1787,1024.0,28498.047833171764,13.981820458383163,3459
129,0.00643824026670815,460.57793515969075,2.0479999780654907,0.6,0.7780000000000002,-0.64,45924.528966237674,39.44146961634577,45.211624624129406,646018382.6667,-5122048.0,46039.440351232326,15.159906661628996,3459
132,0.004746359306404413,460.57793515969075,2.0479999780654907,1.1,0.7780000000000002,-0.64,45944.87488934147,39.44146961634577,45.211624624129406,646018382.6667,-5122048.0,46039.440351232326,13.752487912436738,3459
144,0.013532998848529708,212.13203435596432,2.0479999780654907,0.09999999999999998,0.7820000000000003,-0.64,45921.998348915164,39.29738566477618,45.29942202521036,646018382.6667,-5122048.0,46039.440350733305,15.325925865548276,3459
147,0.009248516870650404,212.13203435596432,2.0479999780654907,0.6,0.7820000000000003,-0.64,45930.22537617732,39.29738566477618,45.29942202521036,646018382.6667,-5122048.0,46039.440350733305,14.779375802515293,3459
150,0.005691745801217259,212.13203435596432,2.0479999780654907,1.1,0.7820000000000003,-0.64,45944.437140038135,39.29738566477618,45.29942202521036,646018382.6667,-5122048.0,46039.440350733305,13.784281678431372,3459
153,0.007625073080722261,460.57793515969075,2.0479999780654907,0.09999999999999998,0.7820000000000003,-0.64,45899.0081528636,39.29738566477618,45.29942202521036,646018382.6667,-5122048.0,46039.440350733305,16.75900939015814,3459
