4U 1700-377_rt_sum,A,Epeak,GRO J1655-40_rt_sum,GX 339-4_rt_sum,Sco X-1_rt_sum,TS,bkg_nllh,dur,gamma,imx,imy,ndets,nllh,solid_angle,time,timeID
3243.43603515625,0.0017227556780036715,1000.0,2631.4873046875,989.153564453125,4942.16845703125,2.6321666544231435,62.60369262991057,0.256,0.5125888027793283,-0.34,0.32,12708,59.139541981582006,12750.303860812588,646018382.6027,-5760256
3243.43603515625,0.0045050492513500715,1000.0,2631.4873046875,989.153564453125,4942.16845703125,7.596688211750912,95.42236781908085,0.256,-0.1,-0.34,0.32,12708,66.56753192580321,12750.303860812588,646018383.1147,-640256
3243.43603515625,0.0034480239977230528,1000.0,2631.4873046875,989.153564453125,4942.16845703125,5.304543351344402,74.21075153434818,0.256,0.34154397182477103,-0.34,0.32,12708,60.141661451202125,12750.303860812588,646018382.7307,-4480256
3243.43603515625,0.0031825625957010066,1000.0,2631.4873046875,989.153564453125,4942.16845703125,4.9527799199022935,71.8868048452566,0.256,0.619572381252041,-0.34,0.32,12708,59.62179037776292,12750.303860812588,646018382.7947,-3840256
3243.43603515625,0.005696347968115523,1000.0,2631.4873046875,989.153564453125,4942.16845703125,9.603128525168897,108.13994365259651,0.256,-0.1,-0.34,0.32,12708,62.02990491714024,12750.303860812588,646018383.3067,1280256
3243.43603515625,0.004994690152440516,1000.0,2631.4873046875,989.153564453125,4942.16845703125,8.26955257449292,106.78579265996231,0.256,-0.1,-0.34,0.32,12708,72.59304276881107,12750.303860812588,646018383.4347,2560256
3243.43603515625,0.004947335737489375,1000.0,2631.4873046875,989.153564453125,4942.16845703125,8.215287858779172,108.99254662840394,0.256,-0.1,-0.34,0.32,12708,75.2470693271017,12750.303860812588,646018383.4987,3200256
3243.43603515625,0.005275203193171234,1000.0,2631.4873046875,989.153564453125,4942.16845703125,9.043884659308741,109.87650980165193,0.256,-0.1,-0.34,0.32,12708,68.98058493621194,12750.303860812588,646018384.1387,9600256
3243.43603515625,0.004618961352613181,1000.0,2631.4873046875,989.153564453125,4942.16845703125,7.755434481414559,101.13702355975315,0.256,-0.1,-0.34,0.32,12708,71.06364156199619,12750.303860812588,646018384.0107,8320256
3243.43603515625,0.0043372165710132485,1000.0,2631.4873046875,989.153564453125,4942.16845703125,7.374600253861847,89.00165077807267,0.256,-0.1,-0.34,0.32,12708,61.80928632594306,12750.303860812588,646018384.2027,10240256
3243.43603515625,0.00339131998929717,1000.0,2631.4873046875,989.153564453125,4942.16845703125,5.791194776617448,75.73627913313096,0.256,-0.1,-0.34,0.32,12708,58.96731066277036,12750.303860812588,646018384.2667,10880256
3243.43603515625,0.0021908868988284487,1000.0,2631.4873046875,989.153564453125,4942.16845703125,3.7205186144972964,68.03598381480117,0.256,-0.1,-0.34,0.32,12708,61.11485443439073,12750.303860812588,646018388.6826999,55040256
3243.43603515625,0.0023094548078067146,1000.0,2631.4873046875,989.153564453125,4942.16845703125,3.9170117093264887,70.94647337645122,0.256,-0.1,-0.34,0.32,12708,63.27498301095081,12750.303860812588,646018388.7466999,55680256
3243.43603515625,0.0021423681213988484,1000.0,2631.4873046875,989.153564453125,4942.16845703125,3.6220107387568916,75.81345104778183,0.256,-0.1,-0.34,0.32,12708,69.2539701519467,12750.303860812588,646018388.8747,56960256
3243.43603515625,0.0025392766664789597,1000.0,2631.4873046875,989.153564453125,4942.16845703125,4.293747634952683,77.85255954462824,0.256,-0.1,-0.34,0.32,12708,68.63442516829735,12750.303860812588,646018388.8106999,56320256
3243.43603515625,0.0027697441927542537,901.100009707373,2631.4873046875,989.153564453125,4942.16845703125,4.465172555471283,82.31226482628506,0.256,-0.1,-0.34,0.32,12708,72.34338185121808,12750.303860812588,646018393.3547,101760256
3243.43603515625,0.0014712833754848193,1000.0,2631.4873046875,989.153564453125,4942.16845703125,3.181523943426426,61.36902697729815,0.256,1.3631923513607431,-0.34,0.32,12708,56.30797967600033,12750.303860812588,646018393.1626999,99840256
3243.43603515625,0.0022051796529878164,858.1069513577114,2631.4873046875,989.153564453125,4942.16845703125,3.2468198474862326,65.82829822198477,0.256,0.4522935765108766,-0.34,0.32,12708,60.557378660969505,12750.303860812588,646018393.2267,100480256
3243.43603515625,0.002791556932812555,1000.0,2631.4873046875,989.153564453125,4942.16845703125,4.80822997003119,75.86772975176753,0.256,-0.1,-0.34,0.32,12708,64.30819202941446,12750.303860812588,646018393.4187,102400256
3243.43603515625,0.0020299768878524888,1000.0,2631.4873046875,989.153564453125,4942.16845703125,3.4714046665276737,67.68851025197065,0.256,-0.1,-0.34,0.32,12708,61.6631850725756,12750.303860812588,646018393.4827,103040256
3243.43603515625,0.0010008858697893252,120.16076187966641,2631.4873046875,989.153564453125,4942.16845703125,3.248658198850769,65.27258536526472,0.256,1.8436008050719308,-0.34,0.32,12708,59.995695318784556,12750.303860812588,646018394.2507,110720256
3243.43603515625,0.004276992875280157,1000.0,2631.4873046875,989.153564453125,4942.16845703125,10.205117287628877,123.22428328792098,0.512,-0.1,-0.34,0.32,12708,71.1520738607901,12750.303860812588,646018383.0507,-1280512
3243.43603515625,0.004134116774254344,1000.0,2631.4873046875,989.153564453125,4942.16845703125,9.882864033845992,123.51529653030227,0.512,-0.1,-0.34,0.32,12708,74.67979577455893,12750.303860812588,646018382.9226999,-2560512
3243.43603515625,0.0049220610841105095,1000.0,2631.4873046875,989.153564453125,4942.16845703125,11.615726209460693,143.05119041393368,0.512,-0.1,-0.34,0.32,12708,75.58864272735765,12750.303860812588,646018383.1787,512
